,bench_neu,rb_neu
total_return,1.7685833125181096,2.622434979541781
cagr,0.10718375833067095,0.13863977028070407
max_drawdown,-0.2099654166867292,-0.09556079122076
calmar,0.5104829167680998,1.4508018247821437
yearly_sharpe,1.1695856131297746,1.763555332571396
yearly_sortino,6.999096813952458,inf
yearly_mean,0.1047893927417698,0.1337439217206473
yearly_vol,0.08959531612342311,0.07583766681459245
