,bench_att,bench_neu,bench_def,bench_att_HV,bench_neu_HV,bench_def_HV,bt_att,bt_neu,bt_def,bt_att_hv,bt_neu_hv,bt_def_hv
2011-09-29,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
2011-09-30,96.89447266483306,97.72942922363282,97.90372088327408,0.24649359055694534,0.180220968253152,0.16638699664304765,96.89447266483306,97.72942922363282,97.90372088327408,0.24649359055694534,0.180220968253152,0.16638699664304765
2011-10-03,94.1673319524765,95.75512342834475,96.08658132009506,0.2223101612686333,0.16136304985782662,0.14869978855977958,94.1673319524765,95.75512342834475,96.08658132009506,0.2223101612686333,0.16136304985782662,0.14869978855977958
2011-10-04,96.39575301055908,97.37427971191408,97.57854878644945,0.35504453585898926,0.25604385009497616,0.2356009510805463,96.39575301055908,97.37427971191408,96.52101526288988,0.35504453585898926,0.25604385009497616,0.17714253545103686
2011-10-05,98.06352353010178,98.56077063121798,98.66455469322206,0.3584572784870268,0.25791998088372614,0.2371404806636057,98.06352353010178,98.56077063121798,97.61471173791887,0.3584572784870268,0.25791998088372614,0.20338036309062582
2011-10-06,100.22497208890915,100.16407351207735,100.15130751571657,0.3607942180379226,0.2609794389144546,0.24032574186105857,100.22497208890915,100.16407351207735,99.10936442518236,0.3607942180379226,0.2609794389144546,0.22030434531635754
2011-10-07,99.69844835548402,99.71565801048281,99.71921961727143,0.33562792365062966,0.24313950418078853,0.22401293027506472,99.69844835548402,99.71565801048281,98.68042460632326,0.33562792365062966,0.24313950418078853,0.2046126674121828
2011-10-10,103.49344425058366,102.5517344251633,102.35509264850617,0.37274157836675736,0.2729077674273271,0.2522085359854152,103.49344425058366,102.5517344251633,101.32601798620225,0.37274157836675736,0.2729077674273271,0.2433371892765248
2011-10-11,103.51691141462328,102.62658311748508,102.44063621025087,0.35209370665934203,0.2576197770325375,0.23803866056712292,103.51691141462328,102.62658311748508,101.40900084924698,0.35209370665934203,0.2576197770325375,0.22946907782989243
2011-10-12,105.08232544813157,103.77026614856725,103.49626556358339,0.33812939663541797,0.24744565473961705,0.22863766366125124,105.08232544813157,103.77026614856725,102.4732741019249,0.33812939663541797,0.24744565473961705,0.22172203116496875
2011-10-13,104.85929249811173,103.61394494380954,103.35388646774294,0.3241193961243713,0.23718340292046325,0.21915155369479974,104.85929249811173,103.61394494380954,102.32831157140731,0.3241193961243713,0.23718340292046325,0.21217402858721665
2011-10-14,106.84045260066988,105.08025073223118,104.7126919951439,0.31665390194864457,0.2319835668677373,0.21440335983083691,106.84045260066988,105.08025073223118,103.69037548007964,0.31665390194864457,0.2319835668677373,0.20892496791442833
2011-10-17,104.70150769739152,103.54883069858555,103.308115990448,0.32313994987906935,0.23667166325587316,0.21867531594650835,104.70150769739152,103.54883069858555,102.27525771818159,0.32313994987906935,0.23667166325587316,0.21287876108866186
2011-10-18,106.67247549743654,105.0205257116318,104.67556134080887,0.3174277528899442,0.23278863616992226,0.21515977478166026,106.67247549743654,105.0205257116318,103.64511746139524,0.3174277528899442,0.23278863616992226,0.21051986161425146
2011-10-19,105.422317077446,104.10541320018771,103.83037202978134,0.3135836822314021,0.2301308710990166,0.21273919795961005,105.422317077446,104.10541320018771,102.79620015754698,0.3135836822314021,0.2301308710990166,0.2078610681985809
2011-10-20,104.83436577959061,103.64545041370394,103.39711865749359,0.3057212893835386,0.22453862023331242,0.2076207821720867,104.83436577959061,103.64545041370394,102.36125485162734,0.3057212893835386,0.22453862023331242,0.2026464533966682
2011-10-21,106.97086946916582,105.28237662830355,104.92970866775514,0.30350274742317684,0.22355520858871386,0.2068868249304,106.97086946916582,105.28237662830355,103.89944652395246,0.30350274742317684,0.22355520858871386,0.20294671312926613
2011-10-24,109.46815290622713,107.14309813671115,106.65754285764694,0.3030943008900234,0.2235990193683091,0.2070044845720283,109.46815290622713,107.14309813671115,105.63293247509002,0.3030943008900234,0.2235990193683091,0.2040144481390316
2011-10-25,107.31316810464861,105.62796927204134,105.27596676807404,0.3079377959193499,0.22687620559235847,0.2099252842224859,107.31316810464861,105.62796927204134,104.24374417428969,0.3079377959193499,0.22687620559235847,0.20679119230636644
2011-10-26,108.07920049915315,106.14440472393038,105.74028332509995,0.3003484171533506,0.22122938549350643,0.20468598444728456,108.07920049915315,106.14440472393038,104.71441237144468,0.3003484171533506,0.22122938549350643,0.20170412317647884
2011-10-27,112.79937775096894,109.63975447521211,108.979919394207,0.32948393410677435,0.2436477866045619,0.22563328224045326,112.79937775096894,109.63975447521211,107.9715686138153,0.32948393410677435,0.2436477866045619,0.2244885902751678
2011-10-28,112.45329187488556,109.4709911096573,108.84816178960801,0.302690620638455,0.22381517831357767,0.2072460948662831,112.45329187488556,109.4709911096573,107.83288857116698,0.302690620638455,0.22381517831357767,0.20659202834010143
2011-10-31,109.11628289022445,107.04879885578157,106.6168853630066,0.3050067640702097,0.2267113904441105,0.21015772987590683,109.11628289022445,107.04879885578157,105.58522452936171,0.3050067640702097,0.2267113904441105,0.20998611688089502
2011-11-01,106.43123283920288,105.12386003932954,104.85064111509324,0.31835897887076336,0.23686916265824584,0.2196001762374512,106.43123283920288,105.12386003932954,103.80965726623533,0.31835897887076336,0.23686916265824584,0.22293544217396907
2011-11-02,108.19069587392806,106.46108635120393,106.09967971954347,0.31800011877042356,0.23711100417100964,0.219950577925821,108.19069587392806,106.46108635120393,105.06256960916518,0.31800011877042356,0.23711100417100964,0.2232663237418698
2011-11-03,109.72260548734664,107.57268901844027,107.1235254943848,0.31385957878249765,0.23414335668584932,0.21721425257317895,109.72260548734664,107.57268901844027,106.0920485259056,0.31385957878249765,0.23414335668584932,0.2204763071861369
2011-11-04,109.49701555948256,107.39462444286349,106.95540359725955,0.31277095787933046,0.23310567840121685,0.2161808990399134,109.49701555948256,107.39462444286349,105.91990204973219,0.31277095787933046,0.23310567840121685,0.2194614647839665
2011-11-07,110.06598317842483,107.84684331417087,107.38324923648837,0.28858329176968617,0.21525346773382076,0.19962688694959774,110.06598317842483,107.84684331417087,106.34703831968304,0.28858329176968617,0.21525346773382076,0.2026697709816182
2011-11-08,111.08013298034666,108.58469161129,108.0633878815651,0.2890724742904193,0.21561838763130756,0.19996244386044998,111.08013298034666,108.58469161129,107.03061139221188,0.2890724742904193,0.21561838763130756,0.2030114636621168
2011-11-09,106.22500611972806,104.93642837905885,104.66713710060121,0.32871528655085597,0.2473427656529703,0.22998268118594375,106.22500611972806,104.93642837905885,103.62010713481901,0.32871528655085597,0.2473427656529703,0.23336578306454664
2011-11-10,106.63777027082442,105.20400247573855,104.90438444681169,0.32870967014382235,0.24728899150511363,0.22992014580391396,106.63777027082442,105.20400247573855,103.8622437273979,0.32870967014382235,0.24728899150511363,0.2333054995965361
2011-11-11,109.01526259307859,106.98240140972139,106.55769030923844,0.33123635808034646,0.24932494146519688,0.23185069961262528,109.01526259307859,106.98240140972139,105.52118163547514,0.33123635808034646,0.24932494146519688,0.23526988550031874
2011-11-14,108.08745324907301,106.29700797615052,105.92292278223039,0.3242545198485868,0.24444169570314978,0.22741050806217636,108.08745324907301,106.29700797615052,104.88154480333327,0.3242545198485868,0.24444169570314978,0.2307453790177817
2011-11-15,108.5614883886337,106.62655546627046,106.22232533922195,0.3185005048395497,0.24010445196836955,0.2233726981919929,108.5614883886337,106.62655546627046,105.18062317695616,0.3185005048395497,0.24010445196836955,0.22666731952741528
2011-11-16,106.50213022499082,105.05261205940248,104.74972824048996,0.32312560350579533,0.24402674074059041,0.22714733578805293,106.50213022499082,105.05261205940248,103.70456837205884,0.32312560350579533,0.24402674074059041,0.23046923075985923
2011-11-17,104.60652023048398,103.59867238998413,103.38802776947021,0.328841472807293,0.24858867333016563,0.23146830296416432,104.60652023048398,103.59867238998413,102.34244252662656,0.328841472807293,0.24858867333016563,0.23481206805393945
2011-11-18,104.6877063111305,103.65594439353943,103.44030594902038,0.3205018564737199,0.24196996164155946,0.22521155025740103,104.6877063111305,103.65594439353943,102.39687935562131,0.3205018564737199,0.24196996164155946,0.22847170962840002
2011-11-21,102.27395957193372,101.8170329662323,101.7214141222,0.31650302817390746,0.23916226922132522,0.22266967316582953,102.27395957193372,101.8170329662323,100.67417210845944,0.31650302817390746,0.23916226922132522,0.22588417633885324
2011-11-22,102.53334271202084,102.03174642791747,101.9268249680519,0.31120700015098646,0.23572168915640973,0.2196212613160056,102.53334271202084,102.03174642791747,100.8783537480354,0.31120700015098646,0.23572168915640973,0.22277982566662075
2011-11-23,99.78839127616878,99.96748577575683,100.00467395582199,0.32052127579682194,0.2428946509312111,0.2263567012934925,99.78839127616878,99.96748577575683,98.95185955209729,0.32052127579682194,0.2428946509312111,0.22956734481386357
2011-11-25,99.40318039207455,99.64174056282043,99.69135366039275,0.27007316820044935,0.20498869686978466,0.19113416626240864,99.40318039207455,99.64174056282043,98.63983328933712,0.27007316820044935,0.20498869686978466,0.19376980741530134
2011-11-28,103.10796679258343,102.45527700557707,102.31880340213775,0.30911965318278506,0.23450733312567934,0.2186868763034185,103.10796679258343,102.45527700557707,101.2744894934654,0.30911965318278506,0.23450733312567934,0.2216969191282815
2011-11-29,103.65446453886028,102.87937494010924,102.71733309659957,0.29612528869019344,0.22521583569142645,0.21020345187840486,103.65446453886028,102.87937494010924,101.67389062833783,0.29612528869019344,0.22521583569142645,0.2130250279889428
2011-11-30,108.41345738859172,106.43480446834563,106.02147448234558,0.32822816500638285,0.24990233073788137,0.23333837564104168,108.41345738859172,106.43480446834563,104.98951597909924,0.32822816500638285,0.24990233073788137,0.23645884214559335
2011-12-01,108.39592395677562,106.42989678440094,106.01918712272645,0.3234086629071893,0.24606697423601417,0.22971399155830458,108.39592395677562,106.42989678440094,104.98511058034893,0.3234086629071893,0.24606697423601417,0.23279028396622606
2011-12-02,108.0626995699882,106.23851691856385,105.85740401754381,0.31957799324856373,0.24321620028051527,0.22707847040433662,108.0626995699882,106.23851691856385,104.81885698080059,0.31957799324856373,0.24321620028051527,0.23011243544728027
2011-12-05,109.33032729797358,107.22845290203094,106.78934522695543,0.3223125627845501,0.2455154687902224,0.22928373882906763,109.33032729797358,107.22845290203094,105.75072164535518,0.3223125627845501,0.2455154687902224,0.23232924553627438
2011-12-06,108.8694407653808,106.85610513515472,106.43546809015275,0.322093168278079,0.2453106447674033,0.22908285821731764,108.8694407653808,106.85610513515472,105.39639415245053,0.322093168278079,0.2453106447674033,0.23212953044221393
2011-12-07,109.1489000205993,107.11268248844146,106.6872649430275,0.32042526331607263,0.2441505072072211,0.228035457023341,109.1489000205993,107.11268248844146,105.64627528705593,0.32042526331607263,0.2441505072072211,0.23106063511691338
2011-12-08,106.43153828525537,105.07173222694396,104.78754287986756,0.2941206109316419,0.2236830578583093,0.20884773768793716,106.43153828525537,105.07173222694396,103.73932442893978,0.2941206109316419,0.2236830578583093,0.21158968937797515
2011-12-09,108.18670370254512,106.39246907825469,106.01758560266495,0.299262969563332,0.22768088308937087,0.21259830231015656,108.18670370254512,106.39246907825469,104.97333651847835,0.299262969563332,0.22768088308937087,0.21538710407193631
2011-12-12,105.97444028205867,104.71774256057738,104.45509898366929,0.2972869920697317,0.22635144075238714,0.21140844942269962,105.97444028205867,104.71774256057738,103.40285791540141,0.2972869920697317,0.22635144075238714,0.21419762428487363
2011-12-13,104.75956580524439,103.84302571544646,103.65139830436706,0.298370619260986,0.22703983732373814,0.2120157917347984,104.75956580524439,103.84302571544646,102.59409837827677,0.298370619260986,0.22703983732373814,0.2148152007035925
2011-12-14,103.31207266902918,102.802526953125,102.69584955005647,0.3005712644973131,0.2285394000412667,0.21337180511792941,103.31207266902918,102.802526953125,101.63446386928553,0.3005712644973131,0.2285394000412667,0.21619601120467097
2011-12-15,103.48723260269158,102.88482793579101,102.7587660648346,0.29457206356388754,0.22364125688906775,0.20871314148664155,103.48723260269158,102.88482793579101,101.70000742664331,0.29457206356388754,0.22364125688906775,0.2114910406503105
2011-12-16,103.83491851396553,103.23082854862213,103.10438039283754,0.2886439623471075,0.21901362003227598,0.20436686718011693,103.83491851396553,103.23082854862213,102.04170425024027,0.2886439623471075,0.21901362003227598,0.20710954043250937
2011-12-19,101.83956511955253,101.73866211128235,101.7172559903145,0.29598119972012554,0.22454915582637766,0.20952582206494033,101.83956511955253,101.73866211128235,100.65096585988992,0.29598119972012554,0.22454915582637766,0.21232667252890577
2011-12-20,105.50665708436958,104.49258209285736,104.28051669235232,0.3111929895399815,0.23529837896207803,0.21935139225695702,105.50665708436958,104.49258209285736,103.2221004918098,0.3111929895399815,0.23529837896207803,0.22232924545794036
2011-12-21,105.49849726066581,104.42450358371735,104.19991565294268,0.3112408727593869,0.23538839581595314,0.2194547997637087,105.49849726066581,104.42450358371735,103.14398458576197,0.3112408727593869,0.23538839581595314,0.22243062923025733
2011-12-22,106.4646599753379,105.196362399292,104.93118621673587,0.2943130993046831,0.22265405358813858,0.20759781641110717,106.4646599753379,105.196362399292,103.87460122508999,0.2943130993046831,0.22265405358813858,0.21043563924999278
2011-12-23,107.34896500787727,105.83976341705323,105.5242999629021,0.2935337284794455,0.221880581482252,0.20682210373073653,107.34896500787727,105.83976341705323,104.46903475828168,0.2935337284794455,0.221880581482252,0.2096610255535593
2011-12-27,106.74281795587531,105.42287993221284,105.1468979629517,0.268794002180488,0.2031179908062697,0.1892903997889456,106.74281795587531,105.42287993221284,104.08812122449872,0.268794002180488,0.2031179908062697,0.19188814718548272
2011-12-28,105.51545422086707,104.53201229705812,104.32627530899052,0.2723569357613674,0.20571815059917203,0.19168709597246555,105.51545422086707,104.53201229705812,103.26344259052274,0.2723569357613674,0.20571815059917203,0.1943167489136702
2011-12-29,106.74409458198538,105.52326082553864,105.26794347257619,0.22244419451295677,0.1690103086039443,0.15776874456394477,106.74409458198538,105.52326082553864,104.20484737377164,0.22244419451295677,0.1690103086039443,0.15988291841441307
2011-12-30,106.54561881341925,105.34146725521089,105.08966558876043,0.22247211128882913,0.16906893405713808,0.15783662604842247,106.54561881341925,105.34146725521089,104.02941555204389,0.22247211128882913,0.16906893405713808,0.15994723770888272
2012-01-03,109.07356050291052,107.21412240829468,106.82552846326834,0.2377611987437481,0.18030418298494927,0.16820670263181595,109.07356050291052,107.21412240829468,105.77344299974438,0.2377611987437481,0.18030418298494927,0.1704954540718924
2012-01-04,108.99493234558096,107.12123871002198,106.72969039611823,0.2342789248571877,0.17746419198812005,0.16550760276544907,108.99493234558096,107.12123871002198,105.67619843864438,0.2342789248571877,0.17746419198812005,0.16777713486557844
2012-01-05,108.80887044744482,107.01303066501619,106.63771735029226,0.23387670395785431,0.17705898448508503,0.16510103118092376,108.80887044744482,107.01303066501619,105.57935412998197,0.23387670395785431,0.17705898448508503,0.16737176931872974
2012-01-06,107.96717380485525,106.3932587949753,106.06427367506032,0.23520888533896234,0.1780043086186341,0.1659622380098,107.96717380485525,106.3932587949753,105.00089487800595,0.23520888533896234,0.1780043086186341,0.16825579896767331
2012-01-09,108.0055678342818,106.40254703712465,106.06748552417761,0.217693076848172,0.1643547510125439,0.15315050991336512,108.0055678342818,106.40254703712465,105.00592758750912,0.217693076848172,0.1643547510125439,0.15528232524009553
2012-01-10,109.33298592395772,107.40477742061617,107.00182163543708,0.21434410844787027,0.16182559568594534,0.15079610691552603,109.33298592395772,107.40477742061617,105.94380976495741,0.21434410844787027,0.16182559568594534,0.15289944529769153
2012-01-11,109.08138106307973,107.2997501426697,106.92735917577751,0.200627959574453,0.1508138278220308,0.14037482825688039,109.08138106307973,107.2997501426697,105.86450113534926,0.200627959574453,0.1508138278220308,0.14232537360173966
2012-01-12,109.67939899721135,107.73436939735414,107.32785587148673,0.19530035231263218,0.14690315681034438,0.1367658566173973,109.67939899721135,107.73436939735414,106.26852374715804,0.19530035231263218,0.14690315681034438,0.13866141117939698
2012-01-13,109.2539858379363,107.46628756141664,107.0926229846955,0.1878026723630286,0.1414223826181279,0.1317120373011817,109.2539858379363,107.46628756141664,106.02744271430969,0.1878026723630286,0.1414223826181279,0.13355385261415084
2012-01-17,110.37250143709173,108.32299125747683,107.89464995431905,0.18944821749752075,0.14266075967373937,0.1328559348550966,110.37250143709173,108.32299125747683,106.8341797337532,0.18944821749752075,0.14266075967373937,0.13473099138119785
2012-01-18,111.88819134044637,109.44401003551485,108.93327758493429,0.19286029532172214,0.14514568745501472,0.1351303669508072,111.88819134044637,109.44401003551485,107.87776206722259,0.19286029532172214,0.14514568745501472,0.13704984926419242
2012-01-19,112.97938501081455,110.23355572147372,109.65985531730658,0.17443299127223466,0.13104916470544556,0.12194457020599307,112.97938501081455,110.23355572147372,108.61037210931778,0.17443299127223466,0.13104916470544556,0.12372764647895043
