,0,1,2
194,MA5,MA20_gra,MACD_OSC
195,MA5,MA20_gra,Fast%K
196,MA5,MA20_gra,Fast%D
197,MA5,MA20_gra,Slow%K
198,MA5,MA20_gra,Slow%D
199,MA5,MA20_gra,RSI14
200,MA5,MA20_gra,RSI signal
201,MA5,MA20_gra,CCI
202,MA5,MA20_gra,A_Ratio
203,MA5,MA20_gra,B_Ratio
204,MA5,MA20_gra,ATR
205,MA5,MA20_gra,UpDI
206,MA5,MA20_gra,DownDI
207,MA5,MA20_gra,MFI
208,MA5,MA20_gra,Momentum
209,MA5,MA20_gra,Sonar
210,MA5,MA20_gra,Sonar_sig5
211,MA5,MA20_gra,STDEV
212,MA5,MA20_gra,Sigma
213,MA5,MA20_gra,TRIX
214,MA5,MA20_gra,VR
215,MA5,MA20_gra,WILLR
216,MA5,MA20_gra,Psy
217,MA5,MA20_gra,Disparity20
218,MA5,MA20_gra,Disparity60
219,MA5,MA20_gra,ADX
220,MA5,MA20_gra,ADOSC
221,MA5,MA20_gra,Volume_OSC
222,MA5,MA20_gra,upperband
223,MA5,MA20_gra,middleband
224,MA5,MA20_gra,lowerband
225,MA5,MA60_gra,MA120_gra
226,MA5,MA60_gra,V_MA5
227,MA5,MA60_gra,V_MA20
228,MA5,MA60_gra,V_MA60
229,MA5,MA60_gra,V_MA120
230,MA5,MA60_gra,EMA5
231,MA5,MA60_gra,EMA20
232,MA5,MA60_gra,EMA60
233,MA5,MA60_gra,EMA120
234,MA5,MA60_gra,MACD
235,MA5,MA60_gra,MACD_sig9
236,MA5,MA60_gra,MACD_OSC
237,MA5,MA60_gra,Fast%K
238,MA5,MA60_gra,Fast%D
239,MA5,MA60_gra,Slow%K
240,MA5,MA60_gra,Slow%D
241,MA5,MA60_gra,RSI14
242,MA5,MA60_gra,RSI signal
243,MA5,MA60_gra,CCI
244,MA5,MA60_gra,A_Ratio
245,MA5,MA60_gra,B_Ratio
246,MA5,MA60_gra,ATR
247,MA5,MA60_gra,UpDI
248,MA5,MA60_gra,DownDI
249,MA5,MA60_gra,MFI
250,MA5,MA60_gra,Momentum
251,MA5,MA60_gra,Sonar
252,MA5,MA60_gra,Sonar_sig5
253,MA5,MA60_gra,STDEV
254,MA5,MA60_gra,Sigma
255,MA5,MA60_gra,TRIX
256,MA5,MA60_gra,VR
257,MA5,MA60_gra,WILLR
258,MA5,MA60_gra,Psy
259,MA5,MA60_gra,Disparity20
260,MA5,MA60_gra,Disparity60
261,MA5,MA60_gra,ADX
262,MA5,MA60_gra,ADOSC
263,MA5,MA60_gra,Volume_OSC
264,MA5,MA60_gra,upperband
265,MA5,MA60_gra,middleband
266,MA5,MA60_gra,lowerband
267,MA5,MA120_gra,V_MA5
268,MA5,MA120_gra,V_MA20
269,MA5,MA120_gra,V_MA60
270,MA5,MA120_gra,V_MA120
271,MA5,MA120_gra,EMA5
272,MA5,MA120_gra,EMA20
273,MA5,MA120_gra,EMA60
274,MA5,MA120_gra,EMA120
275,MA5,MA120_gra,MACD
276,MA5,MA120_gra,MACD_sig9
277,MA5,MA120_gra,MACD_OSC
278,MA5,MA120_gra,Fast%K
279,MA5,MA120_gra,Fast%D
280,MA5,MA120_gra,Slow%K
281,MA5,MA120_gra,Slow%D
282,MA5,MA120_gra,RSI14
283,MA5,MA120_gra,RSI signal
284,MA5,MA120_gra,CCI
285,MA5,MA120_gra,A_Ratio
286,MA5,MA120_gra,B_Ratio
287,MA5,MA120_gra,ATR
288,MA5,MA120_gra,UpDI
289,MA5,MA120_gra,DownDI
