class,return,rb_count,resid_diff,out_multiple,rebalance_weight
deff,191.0408921913145,100,10,0.6,0.5
att,368.249286588765,39,10,0.6,0.6
neu,179.3337137710579,97,10,0.6,0.6
deff,185.30415532331497,100,10,0.6,0.6
att,372.66561312284523,39,10,0.6,0.7
neu,173.1065052505489,97,10,0.6,0.7
deff,180.25869449434427,100,10,0.6,0.7
att,377.61577990798986,39,10,0.6,0.8
neu,168.26822153367993,97,10,0.6,0.8
deff,175.65364085197456,100,10,0.6,0.8
att,383.2451924317351,39,10,0.6,0.9
neu,164.72622641429996,97,10,0.6,0.9
deff,171.2795149310112,100,10,0.6,0.9
att,354.37963677311114,31,10,0.8,0.1
neu,276.46519742488766,65,10,0.8,0.1
deff,221.4899912350642,90,10,0.8,0.1
att,365.60864726887024,31,10,0.8,0.2
neu,270.0692853823662,65,10,0.8,0.2
deff,204.6889043369289,90,10,0.8,0.2
att,374.26813330221336,31,10,0.8,0.3
neu,265.54080579958094,65,10,0.8,0.3
deff,192.68523334312522,90,10,0.8,0.3
att,380.87690498180535,31,10,0.8,0.4
neu,262.1568810201659,65,10,0.8,0.4
deff,183.23459437837604,90,10,0.8,0.4
att,385.8661484104171,31,10,0.8,0.5
neu,259.5348722942346,65,10,0.8,0.5
deff,175.53375614776607,90,10,0.8,0.5
att,389.53887418461034,31,10,0.8,0.6
neu,257.4904205624577,65,10,0.8,0.6
deff,169.234998693084,90,10,0.8,0.6
att,392.15314839534966,31,10,0.8,0.7
neu,255.9687496932037,65,10,0.8,0.7
deff,164.21989432992888,90,10,0.8,0.7
att,393.80769941272854,31,10,0.8,0.8
neu,254.97734755220463,65,10,0.8,0.8
deff,160.32503626155787,90,10,0.8,0.8
att,394.5399475626975,31,10,0.8,0.9
neu,254.48552856998438,65,10,0.8,0.9
deff,157.41139090795502,90,10,0.8,0.9
att,348.0502759745613,25,10,0.9,0.1
neu,279.49224281291805,49,10,0.9,0.1
deff,244.37083905267804,66,10,0.9,0.1
att,353.69355653791564,25,10,0.9,0.2
neu,276.6794519991885,49,10,0.9,0.2
deff,237.6036656333932,66,10,0.9,0.2
att,357.8104450790434,25,10,0.9,0.3
neu,275.5351168229092,49,10,0.9,0.3
deff,231.21839277105263,66,10,0.9,0.3
att,360.76074322548214,25,10,0.9,0.4
neu,275.14483713760256,49,10,0.9,0.4
deff,225.51393280677755,66,10,0.9,0.4
att,362.8235387619047,25,10,0.9,0.5
neu,274.9041796187388,49,10,0.9,0.5
deff,220.44783424682547,66,10,0.9,0.5
att,364.26081934642855,25,10,0.9,0.6
neu,274.5960441527383,49,10,0.9,0.6
deff,215.9177871146199,66,10,0.9,0.6
att,365.38427381982984,25,10,0.9,0.7
neu,274.15687659416113,49,10,0.9,0.7
deff,211.7964592985149,66,10,0.9,0.7
att,366.35963732662526,25,10,0.9,0.8
neu,273.68702601661624,49,10,0.9,0.8
deff,208.11348924465207,66,10,0.9,0.8
att,367.48170059804954,25,10,0.9,0.9
neu,273.36761034564967,49,10,0.9,0.9
deff,204.875934772205,66,10,0.9,0.9
att,345.73158863649337,71,15,0.2,0.1
neu,265.87922275991474,88,15,0.2,0.1
deff,233.0827194730756,60,15,0.2,0.1
att,348.83294386959227,71,15,0.2,0.2
neu,250.26711641168683,88,15,0.2,0.2
deff,219.85435525941966,60,15,0.2,0.2
att,348.8757321436903,71,15,0.2,0.3
