col,RMSE
MA5_gra,0.0706213552032413
Volume_OSC,0.071085957346359
Disparity20,0.0713897281748195
Psy,0.0716341497683569
RSI14,0.0721180769183953
Sigma,0.0723524699455423
CCI,0.0731321270844042
MA20_gra,0.0742065206290159
Momentum,0.0748880630119008
RSI signal,0.0754209761229145
MFI,0.07558564338824
Sonar_sig5,0.0757332515855565
VR,0.0762439533478281
TRIX,0.0765865969202919
Disparity60,0.0774375802738968
Slow%K,0.0788589601396215
MACD_OSC,0.0794281340618153
ADX,0.0795851249700155
A_Ratio,0.0801362751124033
MA60_gra,0.0804065245011362
Fast%K,0.0807677094937205
WILLR,0.081997276832449
MA60,0.0822151625833633
V_MA5,0.0826891166643584
MA120_gra,0.0830893732928917
Fast%D,0.0836823432938269
EMA20,0.0841802431074955
MA120,0.0842006720256221
MA5,0.0842814762742212
V_MA120,0.0848179139533091
Slow%D,0.0852900084516203
MACD_sig9,0.0859342000067613
ADOSC,0.0864411356589587
V_MA60,0.0868321069866977
upperband,0.0874670231573053
EMA5,0.0876014960605223
EMA60,0.0876436711234408
V_MA20,0.0882285192710577
ATR,0.0882489028045553
EMA120,0.0885016816209792
Sonar,0.0885054067620956
MA20,0.0893626392593398
middleband,0.0914710736072441
lowerband,0.0923452988686703
MACD,0.0937916444631968
DownDI,0.095276269905808
STDEV,0.1066984613661583
UpDI,0.1076026132964797
B_Ratio,0.6068527646612395
