col1,col2,RMSE
MA5_gra,Volume_OSC,0.0665457256542121
Sigma,Volume_OSC,0.0684843113753371
MFI,MACD_OSC,0.0691816063027318
Momentum,Volume_OSC,0.0693863195396982
MACD_OSC,Volume_OSC,0.0695117682049225
Psy,Volume_OSC,0.0697004548516766
RSI14,Volume_OSC,0.0697768724416321
MA5_gra,Disparity20,0.0700754567449534
Disparity60,Volume_OSC,0.0701821629175669
MA20_gra,Volume_OSC,0.0702711520212991
Volume_OSC,CCI,0.0705613428416708
TRIX,Volume_OSC,0.0706444263483839
RSI14,MA5_gra,0.0706540000292402
Volume_OSC,Disparity20,0.0706664026905098
TRIX,Disparity20,0.0707884448912508
RSI signal,Volume_OSC,0.0709406096768328
Sigma,Momentum,0.0711533973494373
Sigma,MA20_gra,0.0712033991660841
Sigma,MACD_OSC,0.0713925459710386
Sigma,Disparity20,0.0714450364449049
MACD_OSC,CCI,0.0714481323117458
VR,MA5_gra,0.0714508565636055
MFI,Volume_OSC,0.0714817741056381
RSI signal,Disparity20,0.0715261169412966
Sigma,MFI,0.0716551109715038
TRIX,MA5_gra,0.0718191278246444
MACD_OSC,Disparity20,0.0718256534788509
Psy,MA5_gra,0.0719197411292097
RSI14,Disparity20,0.0719833596395792
Sigma,RSI14,0.0720030292206544
Fast%D,Disparity20,0.0720259842840783
Sigma,Disparity60,0.0720736944754194
Fast%D,MA5_gra,0.0722105776705511
VR,Volume_OSC,0.0722125606055234
VR,Disparity20,0.0724449703073128
MFI,Disparity20,0.0724570021370406
Psy,MACD_OSC,0.0724696167017674
MACD_OSC,RSI14,0.0724988601652518
Sigma,TRIX,0.0726372468359373
Disparity20,CCI,0.0727514804205248
Sigma,Psy,0.0727894747279082
RSI signal,MA5_gra,0.0728540083906699
MA5_gra,CCI,0.0729065548180782
MFI,RSI14,0.0729550199742558
TRIX,RSI14,0.0729576720021535
Sigma,Fast%D,0.0729590953131133
Fast%D,Volume_OSC,0.0730557038586609
Disparity60,MACD_OSC,0.0731291693686831
Disparity60,MA5_gra,0.0732037538778269
MACD_OSC,MA20_gra,0.0733564661493356
Psy,Disparity60,0.0733825863810649
RSI14,CCI,0.0734126586698652
Fast%D,CCI,0.0734311336943533
MA20_gra,CCI,0.0734939127711743
Disparity60,RSI14,0.0735391129420897
RSI14,RSI signal,0.0736196993223505
MA20_gra,Disparity20,0.0736395388852338
Psy,Disparity20,0.0737050593720562
RSI14,MA20_gra,0.0737229968699656
Sigma,VR,0.0737358053436068
MFI,MA5_gra,0.0738223053389379
Psy,Momentum,0.0739009194286481
Sigma,RSI signal,0.0739462612462025
MACD_OSC,Fast%D,0.0739475301398932
Disparity60,Disparity20,0.0740218436640759
Psy,MA20_gra,0.0740305308363005
MFI,CCI,0.0740396855470888
Sigma,MA5_gra,0.0741724352884757
Psy,RSI14,0.0743084979768328
RSI signal,CCI,0.0743125930840492
VR,RSI14,0.0744924267833529
MFI,RSI signal,0.0745203078232944
MFI,MA20_gra,0.0745611418105136
Psy,RSI signal,0.0745863344656031
TRIX,Momentum,0.0746308948528441
Momentum,Disparity20,0.0746785340154713
Momentum,MA5_gra,0.0746975687055489
MACD_OSC,Sonar_sig5,0.0747127312623689
TRIX,MACD_OSC,0.0747520460754586
RSI14,Momentum,0.0747567989656588
Psy,CCI,0.074758440293323
MFI,Disparity60,0.0747595054240636
Sigma,CCI,0.0747825390568735
Psy,MFI,0.0747828846474626
Momentum,Sonar_sig5,0.0748820405421815
MACD_OSC,MA5_gra,0.0750687760676122
TRIX,CCI,0.0751492402511426
RSI14,Fast%D,0.0752152967526036
Psy,VR,0.0753435988838044
Psy,TRIX,0.0754342771810021
MA20_gra,MA5_gra,0.0754973087859425
Disparity60,CCI,0.0755511478578684
VR,CCI,0.0757032122872305
TRIX,MFI,0.0757136685082841
MFI,VR,0.0758149545231724
Momentum,RSI signal,0.0759310920929638
TRIX,MA20_gra,0.0763535411769197
Sonar_sig5,Disparity20,0.0764152813227171
VR,MA20_gra,0.0766223613849052
VR,RSI signal,0.0766728445352902
Disparity60,MA20_gra,0.076683293028028
Psy,Fast%D,0.0767023310698906
RSI signal,Sonar_sig5,0.0767175435342341
TRIX,RSI signal,0.0767922084123962
Sonar_sig5,MA5_gra,0.0768559894519892
Momentum,Fast%D,0.0769171840224159
MFI,Fast%D,0.0772047802852463
MA20_gra,RSI signal,0.0774480458476347
Disparity60,RSI signal,0.0774617743194439
MACD_OSC,RSI signal,0.0777546209299128
VR,MACD_OSC,0.0779674013323139
Disparity60,Momentum,0.078131162877191
RSI signal,Fast%D,0.0782142189323655
Sigma,Sonar_sig5,0.0782679144699039
MA20_gra,Fast%D,0.0782725669038747
MACD_OSC,Momentum,0.0783385962979219
Sonar_sig5,Fast%D,0.0786336434098225
TRIX,Disparity60,0.079011244486108
MA20_gra,Sonar_sig5,0.0791089295853732
TRIX,Fast%D,0.0791241060322464
TRIX,VR,0.0794934027810892
Momentum,CCI,0.0799054050908121
Disparity60,Fast%D,0.080016272196604
VR,Momentum,0.0805681315150634
VR,Fast%D,0.0806487471840531
Disparity60,VR,0.0810833529834039
Psy,Sonar_sig5,0.0813235568908264
VR,Sonar_sig5,0.0819922876925353
MFI,Momentum,0.0824299783474662
TRIX,Sonar_sig5,0.0838715771653227
Disparity60,Sonar_sig5,0.0847466908020875
Sonar_sig5,Volume_OSC,0.086919958471845
MA20_gra,Momentum,0.0879266770913893
RSI14,Sonar_sig5,0.0898979945832839
Sonar_sig5,CCI,0.0900014033141933
MFI,Sonar_sig5,0.0905090916493411
