class,return,rb_count,resid_diff,out_multiple,rebalance_weight
deff,191.0413854941361,100,10,0.6,0.5
att,368.2503585016259,39,10,0.6,0.6
neu,179.33373194417902,97,10,0.6,0.6
deff,185.30437958030672,100,10,0.6,0.6
att,372.665460736086,39,10,0.6,0.7
neu,173.10675296249372,97,10,0.6,0.7
deff,180.25885860347663,100,10,0.6,0.7
att,377.6154632971777,39,10,0.6,0.8
neu,168.2682609991067,97,10,0.6,0.8
deff,175.6537582258224,100,10,0.6,0.8
att,383.2451181675906,39,10,0.6,0.9
neu,164.72620805521063,97,10,0.6,0.9
deff,171.2795462149617,100,10,0.6,0.9
att,354.3796084545131,31,10,0.8,0.1
neu,276.4650533898352,65,10,0.8,0.1
deff,221.4900550739292,90,10,0.8,0.1
att,365.60860646248,31,10,0.8,0.2
neu,270.0692570820809,65,10,0.8,0.2
deff,204.68898626956866,90,10,0.8,0.2
att,374.26808053646073,31,10,0.8,0.3
neu,265.54077123270065,65,10,0.8,0.3
deff,192.68531402349427,90,10,0.8,0.3
att,380.8769028020869,31,10,0.8,0.4
neu,262.15684339761697,65,10,0.8,0.4
deff,183.23466678381033,90,10,0.8,0.4
att,385.8660679771417,31,10,0.8,0.5
neu,259.5345770529751,65,10,0.8,0.5
deff,175.53385565214245,90,10,0.8,0.5
att,389.53869688415557,31,10,0.8,0.6
neu,257.4903870084764,65,10,0.8,0.6
deff,169.2350494272229,90,10,0.8,0.6
att,392.1530310956012,31,10,0.8,0.7
neu,255.96888682737264,65,10,0.8,0.7
deff,164.21993482360827,90,10,0.8,0.7
att,393.80766808643256,31,10,0.8,0.8
neu,254.97731367788296,65,10,0.8,0.8
deff,160.3250682786947,90,10,0.8,0.8
att,394.5402858176244,31,10,0.8,0.9
neu,254.48552338008884,65,10,0.8,0.9
deff,157.41141703834387,90,10,0.8,0.9
att,348.050228723334,25,10,0.9,0.1
neu,279.4919583736407,49,10,0.9,0.1
deff,244.3708762835514,66,10,0.9,0.1
att,353.69347427139303,25,10,0.9,0.2
neu,276.6794100147256,49,10,0.9,0.2
deff,237.60373024902486,66,10,0.9,0.2
