Date,High,Low,Open,Close,Volume,Adj Close
2003-09-29,102.30000305175781,102.0999984741211,102.29000091552734,102.16999816894531,13600.0,57.40757369995117
2003-09-30,102.73999786376953,102.29000091552734,102.30000305175781,102.69999694824219,62600.0,57.70536422729492
2003-10-01,102.75,102.5999984741211,102.63999938964844,102.6500015258789,66300.0,57.677284240722656
2003-10-02,102.6500015258789,102.01000213623047,102.19999694824219,102.48999786376953,68900.0,57.58736801147461
2003-10-03,102.05000305175781,101.69999694824219,102.05000305175781,101.75,64500.0,57.17161178588867
2003-10-06,101.98999786376953,101.5999984741211,101.63999938964844,101.9000015258789,28700.0,57.25588607788086
2003-10-07,101.94000244140625,101.37999725341797,101.94000244140625,101.55000305175781,13000.0,57.059207916259766
2003-10-08,102.05000305175781,101.27999877929688,101.48999786376953,101.80000305175781,42700.0,57.19964599609375
2003-10-09,101.5,101.0999984741211,101.38999938964844,101.44000244140625,35900.0,56.997440338134766
2003-10-10,102.05000305175781,101.68000030517578,101.68000030517578,102.0,13500.0,57.312034606933594
2003-10-13,102.0999984741211,101.55000305175781,102.0,101.55000305175781,23700.0,57.059207916259766
2003-10-14,101.58999633789062,101.13999938964844,101.44000244140625,101.3499984741211,54300.0,56.946800231933594
2003-10-15,101.23999786376953,100.9000015258789,101.18000030517578,101.0999984741211,23100.0,56.80636215209961
2003-10-16,101.55000305175781,100.55000305175781,101.38999938964844,100.83000183105469,62300.0,56.6546745300293
2003-10-17,101.30999755859375,100.75,101.04000091552734,101.30999755859375,55600.0,56.92433166503906
2003-10-20,101.47000122070312,101.13999938964844,101.13999938964844,101.25,12900.0,56.890602111816406
2003-10-21,101.7300033569336,101.38999938964844,101.38999938964844,101.44999694824219,49000.0,57.0030403137207
2003-10-22,101.94999694824219,101.51000213623047,101.75,101.9000015258789,25400.0,57.25588607788086
2003-10-23,101.87000274658203,101.6500015258789,101.83999633789062,101.6500015258789,20700.0,57.11540222167969
2003-10-24,102.1500015258789,101.80000305175781,101.80000305175781,102.1500015258789,28200.0,57.39630889892578
2003-10-27,102.12000274658203,101.80000305175781,102.04000091552734,101.94999694824219,35400.0,57.2839469909668
2003-10-28,102.3499984741211,101.80000305175781,101.80000305175781,102.3499984741211,16600.0,57.50874328613281
2003-10-29,102.0999984741211,101.9000015258789,102.08000183105469,101.9000015258789,71700.0,57.25588607788086
2003-10-30,101.95999908447266,101.77999877929688,101.79000091552734,101.9000015258789,17300.0,57.25588607788086
2003-10-31,101.9000015258789,101.4000015258789,101.9000015258789,101.73999786376953,31000.0,57.16594314575195
2003-11-03,101.41999816894531,101.19999694824219,101.33000183105469,101.19999694824219,56700.0,57.06389236450195
2003-11-04,101.58000183105469,101.4000015258789,101.44999694824219,101.4000015258789,26900.0,57.17668914794922
2003-11-05,101.56999969482422,101.4000015258789,101.5,101.4000015258789,24600.0,57.17668914794922
2003-11-06,101.19000244140625,100.8499984741211,101.18000030517578,100.8499984741211,78000.0,56.866554260253906
2003-11-07,100.9000015258789,100.55000305175781,100.69000244140625,100.9000015258789,33400.0,56.894798278808594
2003-11-10,101.13999938964844,100.91000366210938,101.08000183105469,101.08999633789062,21100.0,57.00188446044922
2003-11-11,101.19999694824219,100.80999755859375,101.18000030517578,100.91000366210938,23700.0,56.900390625
2003-11-12,101.33999633789062,100.80999755859375,101.04000091552734,101.0999984741211,16400.0,57.00752639770508
2003-11-13,101.91000366210938,101.52999877929688,101.52999877929688,101.83999633789062,25400.0,57.42478942871094
2003-11-14,102.16000366210938,101.88999938964844,101.91999816894531,101.91999816894531,18800.0,57.46992874145508
2003-11-17,102.41999816894531,102.18000030517578,102.22000122070312,102.3499984741211,48800.0,57.71236801147461
2003-11-18,102.3499984741211,102.05000305175781,102.12999725341797,102.30000305175781,26800.0,57.68419647216797
2003-11-19,102.30000305175781,101.81999969482422,102.27999877929688,101.81999969482422,44900.0,57.413516998291016
2003-11-20,102.26000213623047,101.94000244140625,102.0,102.16999816894531,21400.0,57.61085891723633
2003-11-21,102.44000244140625,102.20999908447266,102.33999633789062,102.27999877929688,66500.0,57.67287826538086
2003-11-24,102.13999938964844,101.8499984741211,102.08999633789062,101.8499984741211,37000.0,57.43043518066406
2003-11-25,102.25,101.77999877929688,101.77999877929688,102.25,54000.0,57.655967712402344
2003-11-26,102.13999938964844,101.87999725341797,102.08000183105469,101.87999725341797,25300.0,57.44731521606445
2003-11-28,101.75,101.72000122070312,101.75,101.72000122070312,22900.0,57.357173919677734
2003-12-01,101.31999969482422,101.0,101.1500015258789,101.16999816894531,58700.0,57.199947357177734
2003-12-02,101.1500015258789,100.5999984741211,100.83999633789062,101.13999938964844,52100.0,57.182987213134766
2003-12-03,101.3499984741211,100.9000015258789,100.9000015258789,101.23999786376953,32400.0,57.23951721191406
2003-12-04,101.5,101.05000305175781,101.13999938964844,101.38999938964844,25200.0,57.32431411743164
2003-12-05,101.9000015258789,101.51000213623047,101.88999938964844,101.9000015258789,42200.0,57.612674713134766
2003-12-08,102.04000091552734,101.80999755859375,101.98999786376953,101.9000015258789,67200.0,57.612674713134766
2003-12-09,102.0999984741211,101.20999908447266,102.04000091552734,101.33000183105469,87900.0,57.2903938293457
2003-12-10,101.75,101.5999984741211,101.73999786376953,101.7300033569336,120500.0,57.5165901184082
2003-12-11,102.13999938964844,101.4000015258789,101.58999633789062,102.08999633789062,91600.0,57.720069885253906
2003-12-12,102.33999633789062,101.94999694824219,102.23999786376953,102.1500015258789,16400.0,57.75398635864258
